key,ja,en
大きい出目で踏み込むほど重い。逆走で辿り着くと出目ぶん弱まり、出目次第では不発にもなる — 前進で使うためのマス。,大きい出目で踏み込むほど重い。逆走で辿り着くと出目ぶん弱まり、出目次第では不発にもなる — 前進で使うためのマス。,
慎重,慎重,
9ダメージ－出目（逆走では出目ぶん強まる）,9ダメージ－出目（逆走では出目ぶん強まる）,
突進の裏返し。小さい出目、あるいは逆走で辿り着くほど重くなる — 大きく動いた勢いそのままでは弱く、抑えて止まるか押し戻されて初めて活きる。,突進の裏返し。小さい出目、あるいは逆走で辿り着くほど重くなる — 大きく動いた勢いそのままでは弱く、抑えて止まるか押し戻されて初めて活きる。,
寸止め,寸止め,
小刻み,小刻み,
出目2以下なら18ダメージ,出目2以下なら18ダメージ,
刻んで踏み込んだときだけ火を噴く。大きい出目で辿り着いても完全な空振りで、狙いを絞るためのマス。逆走で入っても条件を満たす。,刻んで踏み込んだときだけ火を噴く。大きい出目で辿り着いても完全な空振りで、狙いを絞るためのマス。逆走で入っても条件を満たす。,
摺り足,摺り足,
出目3以下なら通過ごとに盾+3,出目3以下なら通過ごとに盾+3,
小さく動く限りは硬い。通過型なのに大きい出目で得をしない、数少ないマス。,小さく動く限りは硬い。通過型なのに大きい出目で得をしない、数少ないマス。,
間合い,間合い,
出目3以下ならダイス1枚、振り直し+1,出目3以下ならダイス1枚、振り直し+1,
小さい目を事故から立て直しに変える。悪い手札を引いたターンほど価値が上がる。,小さい目を事故から立て直しに変える。悪い手札を引いたターンほど価値が上がる。,
見切り,見切り,
出目1なら行動+1、コンボ+2,出目1なら行動+1、コンボ+2,
1でしか開かない代わりに、その1が実質タダになる。盤上で唯一、最低の目が最高の目になるマス。,1でしか開かない代わりに、その1が実質タダになる。盤上で唯一、最低の目が最高の目になるマス。,
連鎖路,連鎖路,
連鎖,連鎖,Chain
通過ごとにコンボ+1,通過ごとにコンボ+1,
通り抜けるとコンボが1増える。コンボ自体は何もしないが、コンボを参照するマスとダイスが一気に重くなる。,通り抜けるとコンボが1増える。コンボ自体は何もしないが、コンボを参照するマスとダイスが一気に重くなる。,
連撃台,連撃台,
コンボ×3ダメージ,コンボ×3ダメージ,
積んだコンボをそのまま打点に変える。連鎖路を踏んでから着地するのが基本の形。,積んだコンボをそのまま打点に変える。連鎖路を踏んでから着地するのが基本の形。,
共鳴盤,共鳴盤,
コンボ3以上なら14ダメージ,コンボ3以上なら14ダメージ,
条件を満たせば盤上最大級。満たせなければ完全な空振りで、コンボを積む算段とセットで置くマス。,条件を満たせば盤上最大級。満たせなければ完全な空振りで、コンボを積む算段とセットで置くマス。,
螺旋路,螺旋路,
通過でコンボ+1／停止でコンボ×2ダメージ,通過でコンボ+1／停止でコンボ×2ダメージ,
自分で積んで自分で清算する一枚完結型。通過と停止の両方で働く。,自分で積んで自分で清算する一枚完結型。通過と停止の両方で働く。,
蓄積砲台,蓄積砲台,
狙撃,狙撃,Snipe
通過でチャージ+1／停止でチャージ×4ダメージ（消費）,通過でチャージ+1／停止でチャージ×4ダメージ（消費）,
踏むたびに溜まり、止まった瞬間に全部吐き出す。チャージは撃たずに待ったターン数そのものなので、我慢するほど重い一発になり、撃った瞬間にゼロへ戻る。,踏むたびに溜まり、止まった瞬間に全部吐き出す。チャージは撃たずに待ったターン数そのものなので、我慢するほど重い一発になり、撃った瞬間にゼロへ戻る。,
照準台,照準台,
盤上すべてのマスのチャージ+2,盤上すべてのマスのチャージ+2,
盤上のすべてのマスを2ターンぶん進める。自分では何も撃たないが、砲台を何門も並べた盤面ほど見返りが大きくなる、狙撃ビルドの司令塔。,盤上のすべてのマスを2ターンぶん進める。自分では何も撃たないが、砲台を何門も並べた盤面ほど見返りが大きくなる、狙撃ビルドの司令塔。,
貫通砲,貫通砲,
チャージ×3ダメージ（消費しない）,チャージ×3ダメージ（消費しない）,
時計を止めずに撃てる代わりに倍率が低い。チャージは減らないので、待ちながら毎ターン撃ち続けられる。,時計を止めずに撃てる代わりに倍率が低い。チャージは減らないので、待ちながら毎ターン撃ち続けられる。,
大斬撃,大斬撃,
7ダメージ＋出目ぶん,7ダメージ＋出目ぶん,
踏み込みが深いほど重い。大きい出目のダイスをここに当てるのが剣士の基本。,踏み込みが深いほど重い。大きい出目のダイスをここに当てるのが剣士の基本。,
射撃台,射撃台,
出目×2ダメージ,出目×2ダメージ,
威力が完全に出目任せ。6で止まれば12だが、1なら2しか出ない。大きい目のダイスと組む。,威力が完全に出目任せ。6で止まれば12だが、1なら2しか出ない。大きい目のダイスと組む。,
罠道,罠道,
HP3を払って16ダメージ,HP3を払って16ダメージ,
盤上で最も重い一撃だが、自分のHPを削って撃つ。押し切れる場面かどうかの判断を迫るマス。,盤上で最も重い一撃だが、自分のHPを削って撃つ。押し切れる場面かどうかの判断を迫るマス。,
先手,先手,
1手目なら12ダメージ、行動+1,1手目なら12ダメージ、行動+1,
そのターンの1手目で止まった時だけ働き、使った行動をそのまま返す。狙撃点が2手目を条件にするのに対し、こちらは1手目 — 両方を盤に置くと、ターンの組み立てそのものが道筋になる。,そのターンの1手目で止まった時だけ働き、使った行動をそのまま返す。狙撃点が2手目を条件にするのに対し、こちらは1手目 — 両方を盤に置くと、ターンの組み立てそのものが道筋になる。,
狙撃点,狙撃点,
2回目の行動なら12ダメージ,2回目の行動なら12ダメージ,
そのターンの2手目で止まった時だけ火を噴く。行動の順番そのものが条件になる一枚。,そのターンの2手目で止まった時だけ火を噴く。行動の順番そのものが条件になる一枚。,
砦,砦,
要塞,要塞,Fortress
盾+6,盾+6,
腰を据えて構える。盾はターン開始で消えるので、殴られるターンに合わせて止まること。,腰を据えて構える。盾はターン開始で消えるので、殴られるターンに合わせて止まること。,
棘壁,棘壁,
今ある盾ぶんダメージ,今ある盾ぶんダメージ,
守りをそのまま刃に変える。先に盾を集めてから止まらないと、ただの空振りになる。,守りをそのまま刃に変える。先に盾を集めてから止まらないと、ただの空振りになる。,
鉄壁,鉄壁,
HP半分以下なら盾+12,HP半分以下なら盾+12,
追い詰められてから初めて働く。余裕のあるうちは死にマスで、劣勢でこそ盤面を支える。,追い詰められてから初めて働く。余裕のあるうちは死にマスで、劣勢でこそ盤面を支える。,
盾撃,盾撃,
盾があれば14ダメージ,盾があれば14ダメージ,
盾を減らさずに殴れる。1枚でも盾があれば満額なので、棘壁のように大量に貯める必要がない。,盾を減らさずに殴れる。1枚でも盾があれば満額なので、棘壁のように大量に貯める必要がない。,
城壁路,城壁路,
盾があれば通過ごとに2ダメージ,盾があれば通過ごとに2ダメージ,
盾を持ったまま走ると刃になる。先に盾を作ってから踏むという、ターン内の順番が問われるマス。,盾を持ったまま走ると刃になる。先に盾を作ってから踏むという、ターン内の順番が問われるマス。,
堅陣,堅陣,
盾があれば盾+8、HP+4,盾があれば盾+8、HP+4,
持っている者だけがさらに固くなる。盾ゼロで踏むと完全な空振りで、守りを切らさない立ち回りを要求する。,持っている者だけがさらに固くなる。盾ゼロで踏むと完全な空振りで、守りを切らさない立ち回りを要求する。,
反射盤,反射盤,
通過で盾+1／停止で盾の2倍ダメージ,通過で盾+1／停止で盾の2倍ダメージ,
自分で盾を集めながら走り、最後に叩きつける。要塞ビルドの一枚完結型。,自分で盾を集めながら走り、最後に叩きつける。要塞ビルドの一枚完結型。,
毒沼,毒沼,
毒,毒,Poison
敵に毒+4,敵に毒+4,
毒は敵のターン終わりに毒の数だけダメージを与え、1減る。長い戦いほど総ダメージが伸びる。,毒は敵のターン終わりに毒の数だけダメージを与え、1減る。長い戦いほど総ダメージが伸びる。,
腐食路,腐食路,
通過ごとに毒+1,通過ごとに毒+1,
走り抜けるだけで毒が積み上がる。大きい出目と組むと一気に盛れる。,走り抜けるだけで毒が積み上がる。大きい出目と組むと一気に盛れる。,
蝕み台,蝕み台,
毒×3ダメージ（毒は残る）,毒×3ダメージ（毒は残る）,
盛った毒を即座に打点へ変換する。毒を撒く手段とセットで初めて意味を持つ。,盛った毒を即座に打点へ変換する。毒を撒く手段とセットで初めて意味を持つ。,
背水刃,背水刃,
手負い,手負い,
失ったHPぶんダメージ,失ったHPぶんダメージ,
傷が深いほど重い一撃。満身創痍で最大になり、回復すると弱くなる — 癒しを取るかどうかの判断ごと変えてしまうマス。,傷が深いほど重い一撃。満身創痍で最大になり、回復すると弱くなる — 癒しを取るかどうかの判断ごと変えてしまうマス。,
不屈壁,不屈壁,
失ったHPぶん盾,失ったHPぶん盾,
追い詰められるほど硬くなる。背水刃と同じ傷を見ているので、殴るか耐えるかを毎ターン選ぶことになる。,追い詰められるほど硬くなる。背水刃と同じ傷を見ているので、殴るか耐えるかを毎ターン選ぶことになる。,
鮮血路,鮮血路,
通過ごとにHP-1、3ダメージ,通過ごとにHP-1、3ダメージ,
走り抜けながら自分を削る。斬撃路より重い代わりに代価を払う — そして払った傷は、手負いのマスがそのまま火力に変える。,走り抜けながら自分を削る。斬撃路より重い代わりに代価を払う — そして払った傷は、手負いのマスがそのまま火力に変える。,
死線,死線,
HP35%以下なら25ダメージ,HP35%以下なら25ダメージ,
余裕のあるうちは完全な死にマス。本当に後がなくなってから初めて開く、盤上で最も重い一撃。,余裕のあるうちは完全な死にマス。本当に後がなくなってから初めて開く、盤上で最も重い一撃。,
疫の刃,疫の刃,
毒5以上なら22ダメージ,毒5以上なら22ダメージ,
毒を5まで盛ってから初めて開く。毒沼ひとつでは届かず、撒く手段を揃えた盤面への報酬。毒は減らないので、盛り直さずに何度でも撃てる。,毒を5まで盛ってから初めて開く。毒沼ひとつでは届かず、撒く手段を揃えた盤面への報酬。毒は減らないので、盛り直さずに何度でも撃てる。,
腐敗路,腐敗路,
毒4以上なら通過ごとに3ダメージ,毒4以上なら通過ごとに3ダメージ,
毒が回りきった相手の上を走ると、通過そのものが打点になる。毒ビルドが疾走ビルドの走り方を手に入れるマス。,毒が回りきった相手の上を走ると、通過そのものが打点になる。毒ビルドが疾走ビルドの走り方を手に入れるマス。,
集中路,集中路,
補助,補助,Support
ダイスを1枚引く,ダイスを1枚引く,
手札を1枚補充する。引いたダイスはその場で振られ、まだ行動が残っていればそのまま使える。,手札を1枚補充する。引いたダイスはその場で振られ、まだ行動が残っていればそのまま使える。,
泉,泉,
汲むには足を止めるしかない。倍率も条件もない、素直な回復。,汲むには足を止めるしかない。倍率も条件もない、素直な回復。,
雷線,雷線,
5ダメージ、盾+3,5ダメージ、盾+3,
攻めと守りを同時にこなす。尖ってはいないが、どちらも欲しいターンの着地点に。,攻めと守りを同時にこなす。尖ってはいないが、どちらも欲しいターンの着地点に。,
転換炉,転換炉,
ダイス1枚、振り直し+1,ダイス1枚、振り直し+1,
打点は一切ないが、手札と選択肢を回復する。事故ったターンを立て直すためのマス。,打点は一切ないが、手札と選択肢を回復する。事故ったターンを立て直すためのマス。,
好機,好機,
出目5以上で止まると行動+1,出目5以上で止まると行動+1,
大きい出目で踏み込めば、そのターンにもう一度動ける。条件を満たせない出目では何も起きない。,大きい出目で踏み込めば、そのターンにもう一度動ける。条件を満たせない出目では何も起きない。,
ワンモア,ワンモア,
行動+1,行動+1,
出目に関係なく必ず行動が1回戻る。好機より控えめだが、条件なしで確実に手数を伸ばせる。,出目に関係なく必ず行動が1回戻る。好機より控えめだが、条件なしで確実に手数を伸ばせる。,
供物台,供物台,
HP4を払ってコンボ+3、チャージ+3,HP4を払ってコンボ+3、チャージ+3,
HPを資源に変える。連鎖と狙撃のどちらのビルドにも刺さるが、払うものは自分の命。,HPを資源に変える。連鎖と狙撃のどちらのビルドにも刺さるが、払うものは自分の命。,
炎上,炎上,
通過ごとにHP-2,通過ごとにHP-2,
炎上: 通過するとHP-2。踏み抜くほど痛い,炎上: 通過するとHP-2。踏み抜くほど痛い,
敵がマスにかける。マスの効果はそのまま残るが、通過するたびにHPを2失う。大きい出目で何枚も踏み抜く走り方ほど損をする。かけた敵を倒すと全て消える。,敵がマスにかける。マスの効果はそのまま残るが、通過するたびにHPを2失う。大きい出目で何枚も踏み抜く走り方ほど損をする。かけた敵を倒すと全て消える。,
止まるとHP-4,止まるとHP-4,
毒: 止まるとHP-4。通過するだけなら無傷,毒: 止まるとHP-4。通過するだけなら無傷,
敵がマスにかける。通り抜けるぶんには何も起きないが、そこで行動を終えるとHPを4失う。狙って止まりたいマスに乗ると、着地そのものに値段がつく。かけた敵を倒すと全て消える。,敵がマスにかける。通り抜けるぶんには何も起きないが、そこで行動を終えるとHPを4失う。狙って止まりたいマスに乗ると、着地そのものに値段がつく。かけた敵を倒すと全て消える。,
凍結,凍結,
マスの効果を無効化。止まると溶ける,マスの効果を無効化。止まると溶ける,
凍結: そのマスの効果が出ない。止まれば溶ける,凍結: そのマスの効果が出ない。止まれば溶ける,
凍りついたマスは、通過効果も停止効果も一切発動しない。ダメージは受けないが、盛り上げた盤面の一番おいしい一枚を黙らせてくる。そこに止まると溶けて、次からはまた働く — 効果を1回捨てて直す形になる。かけた敵を倒しても消える。,凍りついたマスは、通過効果も停止効果も一切発動しない。ダメージは受けないが、盛り上げた盤面の一番おいしい一枚を黙らせてくる。そこに止まると溶けて、次からはまた働く — 効果を1回捨てて直す形になる。かけた敵を倒しても消える。,
茨,茨,
出目に関わらずここで止まる,出目に関わらずここで止まる,
茨: 踏むと出目に関わらずそこで止まる。踏み倒すと消える,茨: 踏むと出目に関わらずそこで止まる。踏み倒すと消える,
足を取られ、残りの歩数を捨ててそのマスで行動が終わる。止まった扱いなのでそのマスの停止効果は出るが、狙っていた着地点には届かない。踏み倒すと茨自体は消える。かけた敵を倒しても消える。,足を取られ、残りの歩数を捨ててそのマスで行動が終わる。止まった扱いなのでそのマスの停止効果は出るが、狙っていた着地点には届かない。踏み倒すと茨自体は消える。かけた敵を倒しても消える。,
壁,壁,
通れない,通れない,
標準,標準,
均等,均等,
効果なし,効果なし,
1から6まで素直に出る、なんの仕掛けもないダイス。効果はない代わりに出目の幅が最も広く、止まれる場所の選択肢を一番多くくれる。,1から6まで素直に出る、なんの仕掛けもないダイス。効果はない代わりに出目の幅が最も広く、止まれる場所の選択肢を一番多くくれる。,
重撃,重撃,
大きめ,大きめ,
効果なし・大きい目,効果なし・大きい目,
小さい目が出ない。遠くまで一息に運ぶので、通過型マスを何枚も踏み抜きたいときや、出目を参照するマスと相性が良い。,小さい目が出ない。遠くまで一息に運ぶので、通過型マスを何枚も踏み抜きたいときや、出目を参照するマスと相性が良い。,
精密,精密,
安定,安定,
効果なし・ばらつかない,効果なし・ばらつかない,
3から5しか出ない。着地点の予測が立てやすい代わりに、選べる場所の幅は狭い。,3から5しか出ない。着地点の予測が立てやすい代わりに、選べる場所の幅は狭い。,
賭博,賭博,
両極端,両極端,
効果なし・1か6,効果なし・1か6,
1か6しか出ない。手札に複数あると着地候補が両極に散り、どちらかは必ず遠くへ届く。,1か6しか出ない。手札に複数あると着地候補が両極に散り、どちらかは必ず遠くへ届く。,
攻撃,攻撃,Attack
停止攻撃2倍,停止攻撃2倍,
停止型マスのダメージが2倍,停止型マスのダメージが2倍,
止まった先の攻撃がまるごと2倍になる。狙って止まれた時の見返りが最も大きい。,止まった先の攻撃がまるごと2倍になる。狙って止まれた時の見返りが最も大きい。,
通過2倍,通過2倍,
通過型マスの効果が2倍,通過型マスの効果が2倍,
走り抜けざまに踏んだマスの効果が全部2倍。斬撃路や腐食路を敷いた盤面ほど伸びる、攻撃ダイスとは正反対の使い方。,走り抜けざまに踏んだマスの効果が全部2倍。斬撃路や腐食路を敷いた盤面ほど伸びる、攻撃ダイスとは正反対の使い方。,
守勢,守勢,
盾2倍,盾2倍,
得られる盾が2倍,得られる盾が2倍,
砦に止まれば盾+12。盾を打点に変える棘壁や反射盤と組むと、守りがそのまま火力になる。,砦に止まれば盾+12。盾を打点に変える棘壁や反射盤と組むと、守りがそのまま火力になる。,
治癒,治癒,
回復2倍,回復2倍,
回復量が2倍,回復量が2倍,
戦闘間にHPは戻らないので、盤面に回復を仕込んでいるほど効く。,戦闘間にHPは戻らないので、盤面に回復を仕込んでいるほど効く。,
猛毒,猛毒,
毒2倍,毒2倍,
与える毒が2倍,与える毒が2倍,
腐食路を走れば一度に大量の毒が乗る。毒は敵のターンごとに効くので、長引くほど得をする。,腐食路を走れば一度に大量の毒が乗る。毒は敵のターンごとに効くので、長引くほど得をする。,
蓄電,蓄電,
チャージ2倍,チャージ2倍,
得られるチャージが2倍,得られるチャージが2倍,
マスが与えるチャージが倍になる。毎ターン自然に増える1は倍にならないので、照準台や蓄積砲台と組んで初めて効く。,マスが与えるチャージが倍になる。毎ターン自然に増える1は倍にならないので、照準台や蓄積砲台と組んで初めて効く。,
嵐撃,嵐撃,
通過攻撃3倍,通過攻撃3倍,
通過型マスのダメージが3倍,通過型マスのダメージが3倍,
通過ダメージだけを極端に伸ばす。斬撃路を並べた盤面での決め手になるが、盾も回復も伸びない。,通過ダメージだけを極端に伸ばす。斬撃路を並べた盤面での決め手になるが、盾も回復も伸びない。,
連撃,連撃,
コンボ+2,コンボ+2,
使うとコンボ+2,使うとコンボ+2,
出目は小さいが、先に使えばそのターンのコンボ参照マスが一気に重くなる。刻んで積むための一本。,出目は小さいが、先に使えばそのターンのコンボ参照マスが一気に重くなる。刻んで積むための一本。,
発掘,発掘,
1枚補充,1枚補充,
使うとダイスを1枚引く,使うとダイスを1枚引く,
使っても手札が減らない。行動回数は増えないが、選択肢の幅を保てる。,使っても手札が減らない。行動回数は増えないが、選択肢の幅を保てる。,
予知,予知,
振り直し+1,振り直し+1,
使うと振り直しが1回戻る,使うと振り直しが1回戻る,
両極端な出目で当たり外れが激しいが、1手目に使えば残りの手札を振り直して2手目を選び直せる。,両極端な出目で当たり外れが激しいが、1手目に使えば残りの手札を振り直して2手目を選び直せる。,
充填,充填,
全マス電+2,全マス電+2,
使うと盤上すべてのマスのチャージ+2,使うと盤上すべてのマスのチャージ+2,
盤上のすべてのマスに2ターンぶん装填する。撃ちたい砲台に間に合わせるための一本で、砲台が多いほど得をする。,盤上のすべてのマスに2ターンぶん装填する。撃ちたい砲台に間に合わせるための一本で、砲台が多いほど得をする。,
火種,火種,
毒+3,毒+3,
使うと敵に毒+3,使うと敵に毒+3,
毒マスが一枚も無くても毒ビルドを始められる。出目は標準と同じで扱いやすい。,毒マスが一枚も無くても毒ビルドを始められる。出目は標準と同じで扱いやすい。,
号令,号令,
盾+4,盾+4,
使うと盾+4,使うと盾+4,
着地点に関係なく盾が手に入る。棘壁や反射盤の前準備としても使える。,着地点に関係なく盾が手に入る。棘壁や反射盤の前準備としても使える。,
献身,献身,
HP2でコンボ+3,HP2でコンボ+3,
使うとHP-2、コンボ+3,使うとHP-2、コンボ+3,
HPを払ってコンボを買う。出目も大きく、連鎖ビルドの主力になるが、払い続けると保たない。,HPを払ってコンボを買う。出目も大きく、連鎖ビルドの主力になるが、払い続けると保たない。,
軽業,軽業,
毒炎無効,毒炎無効,
毒と炎上のダメージを受けない,毒と炎上のダメージを受けない,
毒と炎上でHPを失わなくなる。荒らされた盤面を平気で渡り歩けるが、無効になるのはダメージだけ — 凍結でマスが黙るのも、茨で足を取られるのも防げない。,毒と炎上でHPを失わなくなる。荒らされた盤面を平気で渡り歩けるが、無効になるのはダメージだけ — 凍結でマスが黙るのも、茨で足を取られるのも防げない。,
逆走,逆走,
逆向きに進む,逆向きに進む,
リングを逆向きに進む,リングを逆向きに進む,
出目がすべて負の、唯一まっすぐ戻れるダイス。前進だけでは届かない手前のマスに止まれるので着地点の選択肢が別物になり、突進マスは弱まり慎重マスは強まる。,出目がすべて負の、唯一まっすぐ戻れるダイス。前進だけでは届かない手前のマスに止まれるので着地点の選択肢が別物になり、突進マスは弱まり慎重マスは強まる。,
跳躍,跳躍,
+2歩,+2歩,
使うと2歩多く進む,使うと2歩多く進む,
実質4から6の移動になる。通過型マスを多く踏みたいときに。,実質4から6の移動になる。通過型マスを多く踏みたいときに。,
帰還,帰還,
帰の目でスタートへ,帰の目でスタートへ,
「帰」の目が出るとスタート地点へ戻る,「帰」の目が出るとスタート地点へ戻る,
6面のうち2面が「帰」。出ればどこにいてもスタート地点まで飛んで戻る、歩数を消費しない移動。危険な予告マスから逃げたり、盛った盤面を素通りしたくない時の緊急脱出に。,6面のうち2面が「帰」。出ればどこにいてもスタート地点まで飛んで戻る、歩数を消費しない移動。危険な予告マスから逃げたり、盛った盤面を素通りしたくない時の緊急脱出に。,
テレポート,テレポート,
四隅へ瞬間移動,四隅へ瞬間移動,
四隅のいずれかへ、現在地に関係なく瞬間移動,四隅のいずれかへ、現在地に関係なく瞬間移動,
6面のうち4面が盤の四隅（右上・左上・右下・左下）。出目どおりの角へ、今どこにいるかに関係なく飛ぶ — 歩数は消費しない。残り2面はただの1で、狙った角に賭けるか小さく刻むかの両極端なダイス。,6面のうち4面が盤の四隅（右上・左上・右下・左下）。出目どおりの角へ、今どこにいるかに関係なく飛ぶ — 歩数は消費しない。残り2面はただの1で、狙った角に賭けるか小さく刻むかの両極端なダイス。,
コンボ,コンボ,
使うと行動+1（実質タダで使える）,使うと行動+1（実質タダで使える）,
使った瞬間に行動が1回戻るので、実質タダで手札を1枚消費できる。出目も3か4としっかり進むので、コンボを積みながら移動そのものにも困らない。,使った瞬間に行動が1回戻るので、実質タダで手札を1枚消費できる。出目も3か4としっかり進むので、コンボを積みながら移動そのものにも困らない。,
小太刀,小太刀,
停止型マスのダメージが2倍・出目は2以下,停止型マスのダメージが2倍・出目は2以下,
攻撃ダイスと同じ倍率を、1か2でしか出ない面と引き換えに持つ。遠くへは運べないが、出目2以下を条件にするマスを常に満たせる唯一のダイス。,攻撃ダイスと同じ倍率を、1か2でしか出ない面と引き換えに持つ。遠くへは運べないが、出目2以下を条件にするマスを常に満たせる唯一のダイス。,
居合,居合,
0で踏み直し,0で踏み直し,
「0」の目は動かず、今いるマスの停止効果をもう一度,「0」の目は動かず、今いるマスの停止効果をもう一度,
6面のうち2面が0。動かないので歩数も距離も稼げないが、いま立っているマスの停止効果がもう一度発動する。重い停止型マスに乗ったまま、そこを撃ち続けるためのダイス。,6面のうち2面が0。動かないので歩数も距離も稼げないが、いま立っているマスの停止効果がもう一度発動する。重い停止型マスに乗ったまま、そこを撃ち続けるためのダイス。,
大車輪,大車輪,
7〜9歩・HP-1,7〜9歩・HP-1,
使うとHP-1。7から9マス進む,使うとHP-1。7から9マス進む,
盤の半分以上を一息に走る。通過型マスを何枚も踏み抜けるが、振り回すたびにHPを1払う。止まりたいマスを狙うには大きすぎる、走るためだけのダイス。,盤の半分以上を一息に走る。通過型マスを何枚も踏み抜けるが、振り回すたびにHPを1払う。止まりたいマスを狙うには大きすぎる、走るためだけのダイス。,
防御,防御,Defence
出目ぶん盾,出目ぶん盾,
使うと出目と同じ数だけ盾,使うと出目と同じ数だけ盾,
出目が小さいほど得るものも小さい、正直な盾ダイス。大きい目を引いた時ほど嬉しい、数少ない「出目そのものが報酬」のダイス。,出目が小さいほど得るものも小さい、正直な盾ダイス。大きい目を引いた時ほど嬉しい、数少ない「出目そのものが報酬」のダイス。,
剣士,剣士,
狙って止まり、重く殴る。攻撃と防御、両極端な二本を持って始まる。,狙って止まり、重く殴る。攻撃と防御、両極端な二本を持って始まる。,
魔導士,魔導士,
溜めて撃ち抜く。チャージの芯と、四隅へ飛ぶテレポートを持つ。,溜めて撃ち抜く。チャージの芯と、四隅へ飛ぶテレポートを持つ。,
盗賊,盗賊,
手札4枚。HPは全キャラ最低だが、とにかく手数で押し切る。,手札4枚。HPは全キャラ最低だが、とにかく手数で押し切る。,
はぐれ兵,はぐれ兵,
斥候,斥候,
射手,射手,
重装,重装,
疫病持ち,疫病持ち,
隊長,隊長,
ボス,ボス,Boss
打ち捨てられた祠,打ち捨てられた祠,
供物を求める祠がある。金貨を投げ入れれば、何かが応えるかもしれない。,供物を求める祠がある。金貨を投げ入れれば、何かが応えるかもしれない。,
20G を捧げる,20G を捧げる,
ダイスを1つ授かる,ダイスを1つ授かる,
立ち去る,立ち去る,
何も起きない,何も起きない,
湧き水,湧き水,
澄んだ水が湧いている。飲めば傷が癒えそうだ。,澄んだ水が湧いている。飲めば傷が癒えそうだ。,
飲む,飲む,
水を汲んで売る,水を汲んで売る,
怪しい行商,怪しい行商,
フードの奥は見えない。「いい取引がある」とだけ言う。,フードの奥は見えない。「いい取引がある」とだけ言う。,
血を分ける,血を分ける,
HP-8 と引き換えにダイスを1つ,HP-8 と引き換えにダイスを1つ,
鍛えてもらう,鍛えてもらう,
最大HP+6,最大HP+6,
断る,断る,
隠し袋,隠し袋,
岩陰に袋が押し込まれている。持ち主はもういないだろう。,岩陰に袋が押し込まれている。持ち主はもういないだろう。,
金を取る,金を取る,
中のダイスを取る,中のダイスを取る,
ダイスを1つ,ダイスを1つ,
血の祭壇,血の祭壇,
刃の跡が残る石。力を求めるなら、代価がいる。,刃の跡が残る石。力を求めるなら、代価がいる。,
捧げる,捧げる,
最大HP-5、ダイスを1つ,最大HP-5、ダイスを1つ,
祈るだけにする,祈るだけにする,
戦闘,戦闘,Battle
強敵,強敵,Elite
休憩,休憩,Rest
店,店,Shop
イベント,イベント,Event
行動,行動,Actions
この先のマス　●通過 ■停止,この先のマス　●通過 ■停止,
振り直す,振り直す,Reroll
行動終了,行動終了,End Turn
図鑑,図鑑,Codex
画面をタップで進む,画面をタップで進む,
閉じる,閉じる,Close
第%d戦,第%d戦,
毎ターン必ず当たる,毎ターン必ず当たる,Always hits
振り直す %d,振り直す %d,
あと%d,あと%d,
使用済み,使用済み,Used
もう一度で確定,もう一度で確定,
